ID,target_residue,residue_location,protein_location,PTM_type,ChEBI,RESID,Include
GPI-anchor amidated glycine,Glycine.,Amino acid backbone.,C-terminal.,GPI-anchor.,143799,AA0161,Yes
GPI-anchor amidated serine,Serine.,Amino acid backbone.,C-terminal.,GPI-anchor.,143800,AA0162,Yes
GPI-anchor amidated threonine,Threonine.,Amino acid backbone.,C-terminal.,GPI-anchor.,143801,AA0164,Yes
GPI-like-anchor amidated alanine,Alanine.,Amino acid backbone.,C-terminal.,GPI-anchor.,143804,AA0424,Yes
GPI-like-anchor amidated asparagine,Asparagine.,Amino acid backbone.,C-terminal.,GPI-anchor.,143802,AA0425,Yes
GPI-like-anchor amidated aspartate,Aspartate.,Amino acid backbone.,C-terminal.,GPI-anchor.,143803,AA0439,Yes
GPI-like-anchor amidated glycine,Glycine.,Amino acid backbone.,C-terminal.,GPI-anchor.,143805,AA0165,Yes
GPI-like-anchor amidated serine,Serine.,Amino acid backbone.,C-terminal.,GPI-anchor.,143806,AA0166,Yes
5-hydroxy-3-methylproline (Ile),Isoleucine.,Amino acid side chain.,Anywhere.,Hydroxylation; Methylation.,nan,AA0473,Yes
"N6,N6,N6-trimethyl-5-hydroxylysine",Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation; Methylation.,nan,AA0359,Yes
(3R)-3-hydroxyarginine,Arginine.,Amino acid side chain.,Anywhere.,Hydroxylation.,78294,AA0601,Yes
(3R)-3-hydroxyasparagine,Asparagine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141853,AA0026,Yes
(3R)-3-hydroxyaspartate,Aspartate.,Amino acid side chain.,Anywhere.,Hydroxylation.,141848,AA0027,Yes
(3S)-3-hydroxyhistidine,Histidine.,Amino acid side chain.,Anywhere.,Hydroxylation.,138021,AA0580,Yes
"(3R,4R)-3,4-dihydroxyproline",Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,141805,AA0479,Yes
"(3R,4R)-4,5-dihydroxyisoleucine",Isoleucine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141826,AA0449,Yes
"(3R,4S)-3,4-dihydroxyproline",Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,141803,AA0282,Yes
"(3R,4S)-4-hydroxyisoleucine",Isoleucine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141844,AA0448,Yes
(3S)-3-hydroxyasparagine,Asparagine.,Amino acid side chain.,Anywhere.,Hydroxylation.,138107,AA0478,Yes
(3S)-3-hydroxyaspartate,Aspartate.,Amino acid side chain.,Anywhere.,Hydroxylation.,138111,AA0579,Yes
(3S)-3-hydroxylysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141492,nan,Yes
"(3S,4R)-3,4-dihydroxyisoleucine",Isoleucine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141827,AA0447,Yes
(2S)-4-hydroxyleucine,Leucine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141825,AA0442,Yes
(4R)-5-hydroxyleucine,Leucine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141824,AA0443,Yes
"(4R)-4,5-dihydroxyleucine",Leucine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141823,AA0445,Yes
"(4S)-4,5-dihydroxyleucine",Leucine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141819,AA0446,Yes
"3,4-dihydroxyarginine",Arginine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141829,AA0369,Yes
"""3,4-dihydroxyphenylalanine""",Tyrosine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141815,AA0146,Yes
"""3,4,5-trihydroxyphenylalanine""",Tyrosine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141811,AA0263,Yes
2-hydroxyproline,Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,141809,AA0602,Yes
"3,4-dihydroxyproline",Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,141832,nan,Yes
3-hydroxyasparagine,Asparagine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141828,nan,Yes
3-hydroxyaspartate,Aspartate.,Amino acid side chain.,Anywhere.,Hydroxylation.,17427,nan,Yes
3-hydroxyphenylalanine,Phenylalanine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141841,AA0462,Yes
3-hydroxyproline,Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,85428,AA0029,Yes
3-hydroxytryptophan,Tryptophan.,Amino acid side chain.,Anywhere.,Hydroxylation.,141794,AA0322,Yes
3-hydroxyvaline (Val),Valine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141793,AA0463,Yes
"""4,5,5-trihydroxyleucine""",Leucine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141818,AA0480,Yes
"4,5-dihydroxylysine",Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141816,AA0370,Yes
4-hydroxyarginine,Arginine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141854,AA0215,Yes
4-hydroxyglutamate,Glutamate.,Amino acid side chain.,Anywhere.,Hydroxylation.,141845,AA0487,Yes
4-hydroxylysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141495,AA0235,Yes
4-hydroxyproline,Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,61965,AA0030,Yes
5-hydroxylysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141817,AA0028,Yes
(5R)-5-hydroxylysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,133442,AA0028,Yes
(5S)-5-hydroxylysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141843,AA0578,Yes
"""7-hydroxytryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Hydroxylation.,141831,AA0520,Yes
Hydroxyarginine,Arginine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141997,nan,Yes
Hydroxyproline,Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,141993,nan,Yes
"N6-(3,6-diaminohexanoyl)-5-hydroxylysine",Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,156054,nan,Yes
N6-(2-hydroxyisobutyryl)lysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,144968,nan,Yes
N6-(beta-hydroxybutyryl)lysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,149490,nan,Yes
N6-poly(beta-hydroxybutyryl)lysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,nan,nan,No
O3-poly(beta-hydroxybutyryl)serine,Serine.,Amino acid side chain.,Anywhere.,Hydroxylation.,nan,AA0618,No
S-poly(beta-hydroxybutyryl)cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Hydroxylation.,nan,AA0617,No
Hypusine,Lysine.,Amino acid side chain.,Anywhere.,Hypusine.,91175,AA0116,Yes
Iodotyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Iodination.,90870,AA0509,No
Diiodotyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Iodination.,90871,AA0510,No
Triiodothyronine,Tyrosine.,Amino acid side chain.,Anywhere.,Iodination.,90874,AA0177,No
Thyroxine,Tyrosine.,Amino acid side chain.,Anywhere.,Iodination.,90872,AA0178,No
5-glutamyl N2-ornithine,Glutamate.,Amino acid side chain.,C-terminal.,Isopeptide bond.,136763,nan,No
5-glutamyl glutamate,Glutamate.,Amino acid side chain.,Anywhere.,Isopeptide bond.,143622,AA0612,No
5-glutamyl glycine,Glutamate.,Amino acid side chain.,Anywhere.,Isopeptide bond.,167890,nan,No
5-glutamyl N2-lysine,Glutamate.,Amino acid side chain.,C-terminal.,Isopeptide bond.,78526,AA0505,No
5-glutamyl polyglycine,Glutamate.,Amino acid side chain.,Anywhere.,Isopeptide bond.,167891,AA0201,No
5-glutamyl polyglutamate,Glutamate.,Amino acid side chain.,Anywhere.,Isopeptide bond.,143623,AA0202,No
Cholesterol glycine ester,Glycine.,Amino acid backbone.,C-terminal.,Lipoprotein.,143135,AA0309,Yes
"Cis-14-hydroxy-10,13-dioxo-7-heptadecenoic acid aspartate ester",Aspartate.,Amino acid side chain.,Anywhere.,Lipoprotein.,nan,AA0316,No
N6-decanoyllysine,Lysine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143222,nan,Yes
O-decanoyl threonine,Threonine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143546,AA0387,Yes
O-decanoyl serine,Serine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143549,AA0385,Yes
Omega-hydroxyceramide glutamate ester,Glutamine.,Amino acid side chain.,Anywhere.,Lipoprotein.,nan,AA0347,Yes
O-hexanoyl serine,Serine.,Amino acid side chain.,Anywhere.,Lipoprotein.,177289,nan,Yes
O-octanoyl serine,Serine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143548,AA0290,Yes
O-octanoyl threonine,Threonine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143547,AA0386,Yes
Phosphatidylethanolamine amidated glycine,Glycine.,Amino acid backbone.,C-terminal.,Lipoprotein.,172941,AA0346,Yes
Phosphatidylserine amidated glycine,Glycine.,Amino acid backbone.,C-terminal.,Lipoprotein.,172942,nan,Yes
"S-(15-deoxy-Delta12,14-prostaglandin J2-9-yl)cysteine",Cysteine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143698,AA0426,Yes
S-archaeol cysteine,Cysteine.,Amino acid side chain.,N-terminal.,Lipoprotein.,143704,AA0223,Yes
S-diacylglycerol cysteine,Cysteine.,Amino acid side chain.,N-terminal.,Lipoprotein.,140656,AA0107,Yes
S-stearoyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143200,AA0407,Yes
N6-stearoyl lysine,Lysine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143206,nan,Yes
O-palmitoleoyl serine,Serine.,Amino acid side chain.,Anywhere.,Lipoprotein.,85189,AA0455,Yes
S-palmitoleoyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Lipoprotein.,143203,AA0308,Yes
N6-lipoyllysine,Lysine.,Amino acid side chain.,Anywhere.,Lipoyl.,83099,AA0118,Yes
2-methylglutamine,Glutamine.,Amino acid backbone.,Protein core.,Methylation.,nan,AA0273,Yes
"""2-methylsulfonyltryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Methylation.,nan,AA0450,Yes
3-hydroxyvaline (Thr),Threonine.,Amino acid side chain.,Anywhere.,Methylation.,141793,nan,Yes
(3S)-3-methylglutamine,Glutamine.,Amino acid side chain.,Anywhere.,Methylation.,149515,nan,Yes
3-methylisoleucine,Isoleucine.,Amino acid side chain.,Anywhere.,Methylation.,149510,nan,Yes
3-methylthioaspartic acid,Aspartate.,Amino acid side chain.,Anywhere.,Methylation.,73599,AA0232,Yes
3-methylvaline,Valine.,Amino acid side chain.,Anywhere.,Methylation.,149511,nan,Yes
5-methylarginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,166868,AA0272,Yes
Aspartate methyl ester,Aspartate.,Amino acid side chain.,Anywhere.,Methylation.,197389,AA0435,No
Asymmetric dimethylarginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,61897,AA0068,Yes
Cysteine methyl disulfide,Cysteine.,Amino acid side chain.,Anywhere.,Methylation.,nan,AA0101,No
Cysteine methyl ester,Cysteine.,Amino acid backbone.,C-terminal.,Methylation.,61989,AA0105,No
Dimethylated arginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,nan,nan,Yes
Glutamate methyl ester (Gln),Glutamine.,Amino acid side chain.,Anywhere.,Methylation.,82795,AA0072,N
Glutamate methyl ester (Glu),Glutamate.,Amino acid side chain.,Anywhere.,Methylation.,82795,AA0072,N
Leucine methyl ester,Leucine.,Amino acid backbone.,C-terminal.,Methylation.,nan,AA0299,N
Lysine methyl ester,Lysine.,Amino acid backbone.,C-terminal.,Methylation.,nan,AA0318,N
Methylhistidine,Histidine.,Amino acid side chain.,Anywhere.,Methylation.,nan,nan,Yes
"N,N,N-trimethylalanine",Alanine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0062,Yes
"N,N,N-trimethylglycine",Glycine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0619,Yes
"N,N,N-trimethylmethionine",Methionine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0456,Yes
"N,N,N-trimethylserine",Serine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0535,Yes
"N,N-dimethylalanine",Alanine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0433,Yes
"N,N-dimethylglycine",Glycine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0620,Yes
"N,N-dimethylleucine",Leucine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0538,Yes
"N,N-dimethylproline",Proline.,Amino acid backbone.,N-terminal.,Methylation.,145671,AA0066,Yes
"N,N-dimethylserine",Serine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0534,Yes
"3,3-dimethylmethionine",Methionine.,Amino acid side chain.,Anywhere.,Methylation.,149518,nan,Yes
"N2,N2-dimethylarginine",Arginine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0569,Yes
"N4,N4-dimethylasparagine",Asparagine.,Amino acid side chain.,Anywhere.,Methylation.,nan,AA0311,Yes
N4-methylasparagine,Asparagine.,Amino acid side chain.,Anywhere.,Methylation.,61960,AA0070,Yes
N5-methylarginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,nan,AA0305,Yes
N5-methylglutamine,Glutamine.,Amino acid side chain.,Anywhere.,Methylation.,61891,AA0071,Yes
"N6,N6,N6-trimethyllysine",Lysine.,Amino acid side chain.,Anywhere.,Methylation.,61961,AA0074,Yes
"N6,N6-dimethyllysine",Lysine.,Amino acid side chain.,Anywhere.,Methylation.,61976,AA0075,Yes
N6-methylated lysine,Lysine.,Amino acid side chain.,Anywhere.,Methylation.,nan,nan,Yes
N6-methyllysine,Lysine.,Amino acid side chain.,Anywhere.,Methylation.,61929,AA0076,Yes
N6-poly(methylaminopropyl)lysine,Lysine.,Amino acid side chain.,Anywhere.,Methylation.,nan,AA0278,No
N-methylalanine,Alanine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0061,Yes
N-methylaspartate,Aspartate.,Amino acid backbone.,Anywhere.,Methylation.,195202,nan,Yes
N-methylglycine,Glycine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0063,Yes
N-methylhistidine,Histidine.,Amino acid backbone.,Anywhere.,Methylation.,195204,nan,Yes
N-methylisoleucine,Isoleucine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0336,Yes
N-methylleucine,Leucine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0337,Yes
N-methylmethionine,Methionine.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0064,Yes
N-methylphenylalanine,Phenylalanine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0065,Yes
N-methylproline,Proline.,Amino acid backbone.,N-terminal.,Methylation.,nan,AA0419,Yes
N-methylserine,Serine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0533,Yes
N-methylthreonine,Threonine.,Amino acid backbone.,Anywhere.,Methylation.,194547,nan,Yes
N-methyltyrosine,Tyrosine.,Amino acid backbone.,Anywhere.,Methylation.,nan,AA0338,Yes
N-methylvaline,Valine.,Amino acid backbone.,Anywhere.,Methylation.,194546,nan,Yes
Omega-N-methylarginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,65280,AA0069,Yes
Omega-N-methylated arginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,nan,nan,Yes
O-methylthreonine,Threonine.,Amino acid side chain.,Anywhere.,Methylation.,167628,AA0464,Yes
Pros-methylhistidine,Histidine.,Amino acid side chain.,Anywhere.,Methylation.,43903,AA0073,Yes
S-methylcysteine,Cysteine.,Amino acid side chain.,Anywhere.,Methylation.,82612,AA0234,Yes
S-methylmethionine,Methionine.,Amino acid side chain.,Anywhere.,Methylation.,142742,AA0616,Yes
Symmetric dimethylarginine,Arginine.,Amino acid side chain.,Anywhere.,Methylation.,88221,AA0067,Yes
Tele-methylhistidine,Histidine.,Amino acid side chain.,Anywhere.,Methylation.,16367,AA0317,Yes
Threonine methyl ester,Threonine.,Amino acid backbone.,C-terminal.,Methylation.,nan,AA0507,No
N6-myristoyl lysine,Lysine.,Amino acid side chain.,Anywhere.,Myristate.,141129,AA0078,Yes
N-(12R)-12-hydroxymyristoylcysteine,Cysteine.,Amino acid backbone.,N-terminal.,Myristate.,143561,AA0516,Yes
N-(12-oxomyristoyl)cysteine,Cysteine.,Amino acid backbone.,N-terminal.,Myristate.,143562,AA0517,Yes
N-myristoyl glycine,Glycine.,Amino acid backbone.,N-terminal.,Myristate.,133050,AA0059,Yes
"(Z)-2,3-didehydroaspartate",Aspartate.,Amino acid backbone.,Protein core.,nan,145325,nan,No
"(E)-2,3-didehydrotyrosine",Tyrosine.,Amino acid backbone.,Protein core.,nan,nan,AA0365,No
"(Z)-2,3-didehydrotyrosine",Tyrosine.,Amino acid backbone.,Protein core.,nan,nan,AA0183,No
"2,3-didehydrotyrosine",Tyrosine.,Amino acid backbone.,Protein core.,nan,nan,nan,No
"2,3-didehydroalanine (Cys)",Cysteine.,Amino acid backbone.,Protein core.,nan,90873,AA0181,No
"2,3-didehydroalanine (Ser)",Serine.,Amino acid backbone.,Protein core.,nan,90873,AA0181,No
"2,3-didehydroalanine (Tyr)",Tyrosine.,Amino acid backbone.,Protein core.,nan,90873,AA0181,No
"(E)-2,3-didehydrobutyrine",Threonine.,Amino acid backbone.,Protein core.,nan,nan,AA0547,No
"(Z)-2,3-didehydrobutyrine",Threonine.,Amino acid backbone.,Protein core.,nan,nan,AA0182,No
"2,3-didehydrobutyrine",Threonine.,Amino acid backbone.,Protein core.,nan,nan,nan,No
1-amino-2-propanone,Threonine.,Amino acid backbone.,C-terminal.,nan,nan,AA0486,No
1-thioglycine,Glycine.,Amino acid backbone.,Protein core.,nan,nan,AA0265,No
